[-1.7961696623298235e-8,4.2576678066649285e-8]
[-6.996959066952995e-8,-9.477677063416027e-9]
[7.908029042264355e-9,4.603305272094384e-8]
[1.1492163392018226e-10,3.62192936968603e-9]
[-7.720885188885064e-10,-6.485907449349075e-10]
[-1.9838062732778137e-9,-2.280106724985282e-8]
[-4.177516784843007e-8,6.357103852710052e-8]
[-3.908625784988703e-9,-3.127081581066006e-9]
[3.825568981653845e-8,-1.1605004076004918e-8]
[-1.9869969731769123e-8,-2.831267141493372e-8]
[5.196334721066602e-9,2.3641722316339242e-8]
[-2.8872534548278253e-8,8.216751185538784e-8]
[1.5661825337881792e-8,2.2214233392445652e-8]
[-8.000651114909796e-9,-2.1337484933405886e-8]
[2.5494857011834134e-8,-4.0046299147197134e-8]
[4.9170992622518416e-9,8.115404500078445e-9]
[2.043539617043507e-9,6.322333840175434e-9]
[1.1273798609481966e-9,-2.8055507375509817e-9]
[-1.8487765884916889e-9,9.234480798719296e-9]
[7.489278689259966e-11,1.6271118516088984e-8]
[5.337743412431915e-9,6.566583468450067e-9]
[1.0790897408971306e-9,-2.366829185033526e-9]
[-5.41017527763626e-10,9.990639730452826e-10]
[8.427290128547761e-9,-2.8714579132181487e-8]
[-2.2645734621087188e-7,-2.6184841776869845e-9]
[-1.0764468088466088e-7,-8.545157861832499e-9]
[-2.215561119694651e-8,3.6513694682680994e-8]
[-7.209371243460355e-9,-1.4667376902960279e-8]
[8.679373471748901e-10,2.8481241265763154e-9]
[-1.8028876480963797e-9,1.870047635505658e-8]
[-5.20092365521942e-12,-1.8082193731583126e-9]
[-3.3622268398013446e-9,-1.095453930677682e-9]
[1.7298282827920863e-7,-2.699431851940475e-8]
[-7.555122037502215e-8,-8.245717433847759e-8]
[-1.1756440320170686e-8,-1.30501953737014e-8]
[-1.5596680799966944e-8,7.199451560551368e-9]
[-3.55176726524386e-9,-6.273862314291868e-8]
[2.1011456738462817e-8,-1.8574948049407527e-8]
[1.262317972455276e-9,-1.8981994961687865e-8]
[2.7930641239542313e-7,9.146550070958827e-8]
[2.591721976222366e-9,-6.001161494251166e-8]
[5.8958013275891705e-8,-9.130648934763929e-8]
[-1.5843266882098064e-9,4.969205454534806e-9]
[1.868287256798475e-9,-1.7606099780967468e-9]
[2.2782527790932484e-9,-1.5213886991289993e-8]
[0,0]
[-5.003751829841982e-9,-1.2329242427181302e-8]
[1.2166908534910745e-10,7.672104226026273e-9]
[2.347068642796121e-8,-3.683248459382065e-8]
[0,0]
[9.200015256983656e-9,1.8463973988219344e-8]
[4.877773118936676e-8,-7.316491609295359e-8]
[0,0]
[8.133867945389634e-10,2.908012102834173e-9]
[-1.5679274799066125e-10,1.3051685703329704e-9]
[-6.8492596844934546e-9,-1.4137383365447338e-8]
[-2.58216808221779e-10,1.8910556567305194e-9]
[1.7155364185355814e-8,-7.833135883275927e-9]
[-6.619314831011936e-11,1.205701684558303e-8]
[6.190247568388827e-7,3.524944431315758e-7]
[3.1628565675820388e-9,-2.822960793796146e-9]
[-1.153940739797753e-9,-2.5906070066187442e-8]
[4.663089065087486e-10,-5.363526511989883e-9]
[-3.774078233140911e-9,7.514982539392128e-9]
[1.648324131825293e-8,-4.156138919831443e-8]
[0,0]
[-3.287431369376096e-8,-5.3069834289628164e-9]
[-4.985029633206155e-10,-2.1788309312539374e-9]
[-2.2004682161163257e-9,-4.893774703389995e-9]
[4.945501913742369e-7,-2.1238650178247433e-8]
[2.791236355100007e-9,1.7467264530884687e-8]
[1.3348584337722565e-6,-6.675873553017489e-8]
[2.1262114682183582e-8,3.4554527791947373e-9]
[-2.045289149533751e-8,7.859849393192238e-9]
[-2.075336697414681e-8,-2.2259783326880625e-8]
[2.9056645210383034e-7,-2.6413103883682274e-7]
[3.983888699720768e-7,-1.0907464313082454e-8]
[-5.053706127630367e-8,-1.659912791672488e-7]
[8.481904192618871e-9,4.08287233983262e-8]
[1.8849861265900323e-8,3.3092065037570385e-8]
[-1.1195072064348579e-8,-1.6678128586849843e-8]
[-1.1551273475005045e-9,2.4663588580865075e-9]
[-2.8276036895087846e-8,-3.881758992856267e-8]
[1.9523064522333988e-9,-3.158275898178281e-8]
[9.794958081461813e-9,8.352961652755657e-10]
[-8.700320517949695e-9,1.3562799900228746e-8]
[-1.1371347905336744e-9,4.93679227694081e-9]
[-1.2958951539895447e-8,8.942457806019081e-9]
[1.4295278040223977e-7,1.1497226578226075e-8]
[1.2492019873328115e-7,1.9073315684039482e-8]
[-7.882852121674388e-9,4.074723511262674e-9]
[-6.047948360085016e-9,3.42783176637645e-8]
[-2.4761598424333556e-9,-5.6280358916910765e-9]
[-1.7494175304236942e-9,8.333637728887025e-9]
[-2.191195585622155e-8,-3.1103235485126556e-9]
[4.020011439271404e-8,8.827919572309592e-9]
[-1.143757423771227e-8,-1.5276208101780853e-8]
[6.034090676241165e-9,-1.3987814665318115e-8]
[3.8241907214640617e-8,4.265585492569271e-8]
[8.979882884464093e-9,8.635883206740888e-10]
[-1.1449914756450824e-9,3.25647340450348e-8]
[-3.870972488895343e-10,-2.3603722394860953e-8]
[-2.1442728557074397e-9,3.349684380520319e-9]
[-2.5315187686363875e-8,1.900401536367488e-8]
[4.053688754110158e-8,-3.716728317205686e-8]
[1.363342326005645e-7,6.321414125795598e-8]
[1.058038805529828e-8,7.6114025953201e-9]
[1.9010659774532695e-9,-6.901263822492299e-9]
[3.740833677096077e-9,1.8070259889321003e-8]
[-4.489928004869398e-8,-7.341314924678921e-8]
[1.7968641478374928e-8,3.593880682406152e-8]
[8.06272382408572e-8,1.306391882988775e-8]
[-4.806644121338901e-10,-1.156737561499359e-9]
[1.2170130070343698e-9,1.656962237731305e-9]
[-4.997796375113743e-9,2.201517389328703e-8]
[-1.546268435494934e-8,3.8876572203367946e-8]
[2.5856236251946426e-8,-2.1545438805738155e-8]
[6.32076073848641e-10,1.843940111718134e-9]
[1.0274837018211384e-8,-1.0291485082136077e-8]
[-5.094953456989393e-7,1.5318463630670249e-7]
[8.568685275829969e-10,-1.44899667543252e-9]
[-1.177795118339393e-10,-2.0522612183006775e-9]
[0,0]
[-1.0072951796325903e-8,-2.1305024891424474e-8]
[6.415004130006157e-10,-2.4182282489869185e-10]
[-4.96558175206314e-9,1.399872651771504e-8]
[-4.59644172246951e-9,-1.215170067741612e-8]
[2.960403395540648e-8,-3.364531552752036e-9]
